config,head_dims_json,local_weight,induction_weight,seed,local_accuracy,induction_accuracy,local_top_slot,local_top_dim,local_top_score,local_top_specialization,induction_top_slot,induction_top_dim,induction_top_score,induction_top_specialization,local_top_is_64,induction_top_is_64,same_top_slot,same_top_dim
hetero4_64second,"[16, 64, 16, 32]",0.1,1.0,4,0.999755859375,0.9984375536441803,L0H1:d64,64,0.06414859159849584,0.6915783070343274,L0H1:d64,64,1.1953668954083696,0.6697507118388691,True,True,True,True
hetero4_64second,"[16, 64, 16, 32]",0.1,1.0,5,0.99951171875,0.9971354603767395,L0H1:d64,64,0.7922235988880857,0.6981140862415347,L0H0:d16,16,6.981753129628487,0.5781353843251503,True,False,False,False
hetero4_64second,"[16, 64, 16, 32]",0.25,1.0,1,1.0,0.997526079416275,L0H2:d16,16,0.21207206832696102,0.7371588521236517,L0H2:d16,16,8.453015139559284,0.4617429770472626,False,False,True,True
hetero4_64second,"[16, 64, 16, 32]",0.25,1.0,2,0.999755859375,0.9973958730697632,L1H1:d64,64,0.231580824663979,0.9451354466011173,L0H1:d64,64,6.341609106166288,0.6072428533274173,True,True,False,True
hetero4_64second,"[16, 64, 16, 32]",0.25,1.0,3,1.0,0.9958333969116211,L1H1:d64,64,0.12106894495809684,0.9584627371559276,L0H1:d64,64,2.926660645985976,0.7755055895196498,True,True,False,True
hetero4_64second,"[16, 64, 16, 32]",0.25,1.0,4,1.0,1.0,L1H1:d64,64,0.1668670032049704,0.950402681207196,L0H3:d32,32,2.8088608606994967,0.692227268479307,True,False,False,False
hetero4_64second,"[16, 64, 16, 32]",0.25,1.0,5,0.999755859375,0.9994792193174362,L1H1:d64,64,0.33264677321494673,0.9746870490581655,L0H3:d32,32,5.539981013338547,0.5308128999067508,True,False,False,False
hetero4,"[16, 16, 32, 64]",1.0,1.0,1,1.0,1.0,L1H3:d64,64,0.11725240901432699,0.9626769836519916,L0H3:d64,64,3.719407034062897,0.8858530515419614,True,True,False,True
hetero4,"[16, 16, 32, 64]",1.0,1.0,2,1.0,1.0,L1H3:d64,64,0.19264648930038675,0.9380185309887104,L1H3:d64,64,1.1410492267896188,0.8980801094148515,True,True,True,True
hetero4,"[16, 16, 32, 64]",1.0,1.0,3,1.0,1.0,L1H3:d64,64,0.1556771969771944,0.9645597110515368,L1H3:d64,64,1.099033311533276,0.8896496175994383,True,True,True,True
hetero4,"[16, 16, 32, 64]",1.0,1.0,4,1.0,0.9960938096046448,L0H0:d16,16,0.2027236019130214,0.7668715064425554,L0H0:d16,16,5.841112106572837,0.7316110547600359,False,False,True,True
hetero4,"[16, 16, 32, 64]",1.0,1.0,5,1.0,1.0,L1H3:d64,64,0.11386924811813515,0.7962959245273653,L0H3:d64,64,1.5006770205218345,0.6889789452300142,True,True,False,True
hetero4_64first,"[64, 16, 16, 32]",1.0,1.0,1,1.0,1.0,L1H0:d64,64,0.08661799995024921,0.9138171293241889,L0H2:d16,16,4.1969606146158185,0.8153023795647876,True,False,False,False
hetero4_64first,"[64, 16, 16, 32]",1.0,1.0,2,0.99951171875,0.9932292103767395,L1H0:d64,64,0.21338571554224472,0.9017765372307056,L0H2:d16,16,2.534227059688419,0.5485229986195936,True,False,False,False
hetero4_64first,"[64, 16, 16, 32]",1.0,1.0,3,1.0,1.0,L1H0:d64,64,0.10590993984806119,0.9194796387378601,L0H0:d64,64,1.4997170985880075,0.6358801117159304,True,True,False,True
hetero4_64first,"[64, 16, 16, 32]",1.0,1.0,4,1.0,1.0,L1H0:d64,64,0.06876382445989293,0.8886456203967676,L1H0:d64,64,0.9710730417864397,0.8036998558257298,True,True,True,True
hetero4_64first,"[64, 16, 16, 32]",1.0,1.0,5,1.0,1.0,L1H0:d64,64,0.2162646258911991,0.9695555516074501,L0H1:d16,16,4.594219260223326,0.8065912976003505,True,False,False,False
hetero4_64second,"[16, 64, 16, 32]",1.0,1.0,1,1.0,1.0,L1H1:d64,64,0.09532399872477981,0.8985714599371512,L0H2:d16,16,4.450135796840186,0.8029774353543498,True,False,False,False
hetero4_64second,"[16, 64, 16, 32]",1.0,1.0,2,1.0,1.0,L1H1:d64,64,0.12341281962653738,0.936010774126448,L0H2:d16,16,2.2585802896646783,0.8119936814787315,True,False,False,False
hetero4_64second,"[16, 64, 16, 32]",1.0,1.0,3,1.0,1.0,L1H1:d64,64,0.10369300069942256,0.8713780172925573,L1H1:d64,64,0.9731736412650207,0.7827221508237574,True,True,True,True
hetero4_64second,"[16, 64, 16, 32]",1.0,1.0,4,1.0,1.0,L1H1:d64,64,0.1666872658788634,0.9508917724922983,L0H0:d16,16,3.2303306261164835,0.5715587677401928,True,False,False,False
hetero4_64second,"[16, 64, 16, 32]",1.0,1.0,5,1.0,1.0,L1H1:d64,64,0.2201156821065524,0.9639048542462687,L0H2:d16,16,5.311349386873189,0.6534131672085046,True,False,False,False
hetero4_64third,"[16, 32, 64, 16]",1.0,1.0,1,1.0,1.0,L1H2:d64,64,0.07402531933621503,0.951381349305282,L0H3:d16,16,2.1710077747993637,0.5438341368113901,True,False,False,False
hetero4_64third,"[16, 32, 64, 16]",1.0,1.0,2,1.0,1.0,L1H2:d64,64,0.16613973183484632,0.978332087357836,L1H2:d64,64,1.1894487367826514,0.9149862594576049,True,True,True,True
hetero4_64third,"[16, 32, 64, 16]",1.0,1.0,3,1.0,1.0,L1H2:d64,64,0.176017056521232,0.9665173271268458,L1H2:d64,64,1.106728943545022,0.871745458024643,True,True,True,True
hetero4_64third,"[16, 32, 64, 16]",1.0,1.0,4,1.0,1.0,L1H2:d64,64,0.2459327209435287,0.973886261932752,L0H0:d16,16,1.3631456471339334,0.48718330950177385,True,False,False,False
hetero4_64third,"[16, 32, 64, 16]",1.0,1.0,5,0.999755859375,0.996614620089531,L1H2:d64,64,0.06885918021362158,0.8471779889735854,L1H2:d64,64,1.392700565746054,0.6323623241467032,True,True,True,True
